a,RMSE,Mean,RMSE - Decentered Loss
20.9,741.1812782640528,-279.8358181274414,766.6013752462687
20.95,742.3025959225486,-283.9964216594696,768.1299049886024
21.0,744.0005410566889,-288.0768604412079,769.6478811405117
21.05,745.967515996124,-292.0164669429779,771.1311175074413
21.1,747.6850441494903,-295.9873133304596,772.6435614660875
21.15,749.3965974404001,-300.1685835971832,774.2549722159719
21.2,750.7891909000659,-304.39078360710147,775.9016255733463
21.25,752.6268363905131,-308.488533310318,777.5183332927702
21.3,754.6513990805847,-312.82829153633116,779.2503599023589
21.35,756.4824361225359,-317.0169164726257,780.9412966108451
21.4,758.0942400161885,-321.23591519927976,782.6634632051855
21.45,759.8829616961067,-325.48690923843384,784.4178169241214
21.5,762.0093604191264,-329.9803159500122,786.292943079668
21.55,763.6729967017026,-334.4143222579956,788.16401995631
21.6,765.8179599214063,-338.80009059524536,790.034863034387
21.65,767.7814557515484,-343.3453177848816,791.9946910599953
21.7,770.1705741870704,-347.7356376148224,793.9078391663625
21.75,772.4073808761959,-352.31033933525083,795.9222063901319
21.8,774.0675347802247,-356.6802938556671,797.8661638692174
21.85,776.7021805891226,-361.4730520980835,800.0202190041948
21.9,778.9526616566005,-366.13477513961794,802.1373055711564
21.95,780.9188021016946,-370.7125007537842,804.2371177939629
22.0,783.7465790393359,-375.2340251724243,806.3312948593249
22.05,785.767840625371,-380.00146175079345,808.5608785707825
22.1,788.6617332377413,-384.8211201812744,810.8371463863671
22.15,790.8983622291344,-389.4962144241333,813.0663469072782
22.2,793.5852598039094,-394.41308161087034,815.4331746796909
22.25,795.694400001086,-399.1142856452942,817.7174306742944
22.3,798.4753810434494,-404.07011248703003,820.1476935453132
22.35,800.9302141059076,-408.67203983001707,822.4247196924731
22.4,803.3276225914673,-413.5504626365662,824.859726601641
22.45,805.8763066259538,-418.39280568542483,827.2980861042395
22.5,808.2614013942043,-423.1292516281128,829.7035295849855
22.55,810.9980143385042,-428.0504625999451,832.2239974636894
22.6,813.7586374265077,-432.884737890625,834.720779495186
22.65,816.0605198526574,-437.74688037338257,837.2525990996055
22.7,819.1562152821884,-442.63848085632327,839.8204618590867
22.75,821.7301243897779,-447.39251517410275,842.3358273611694
22.8,824.9229856594459,-452.6448357070923,845.1372259667164
22.85,827.8812245655189,-457.54240131530764,847.7703889755729
22.9,830.7040640572452,-462.4856879020691,850.4484669494477
22.95,833.7238602943556,-467.49470135650637,853.1827935552997
23.0,836.3777658297436,-472.5993081428528,855.9904727738032
23.05,839.0582394128844,-477.4978670425415,858.7047201760292
23.1,842.3928937146205,-482.58592687339785,861.544404101537
23.15,845.4750957979711,-487.59225141563417,864.3585986516147
23.2,848.7941595562489,-492.7477090244293,867.2772844778304
23.25,851.8111729198931,-497.8020683986664,870.1588836094282
23.3,854.7367800205469,-502.9489811359405,873.1135441900421
23.35,857.7830982843435,-507.758192408371,875.8926677283195
23.4,861.2328200571749,-513.0187224742889,878.9526682544216
23.45,863.9599715319652,-518.268000251007,882.026815639181
23.5,867.5047872541625,-523.4503963058472,885.0818610813151
23.55,870.7824628475295,-528.6123170330047,888.1444506055409
23.6,873.7551572384577,-533.7379591655731,891.2046860719747
23.65,877.5867549800323,-538.9720894226074,894.3492028279486
23.7,880.605645285992,-544.2472610286712,897.5381131515401
23.75,884.0260635029896,-549.7162943893433,900.8649109270308
23.8,887.6393825118936,-554.7562272979736,903.9491441161373
23.85,891.3948129785059,-560.0457586372376,907.2049576528862
23.9,894.8107701024084,-565.487384690857,910.5743054067149
23.95,898.0799915415632,-570.7518068145752,913.8529468161264
24.0,901.3587062372711,-575.8555520996093,917.0491809637921
24.05,904.6020851833216,-581.2551798339844,920.4494377782266
24.1,908.4034542471893,-586.2390763778686,923.6048062319687
24.15,911.8655971949568,-591.5928127372741,927.0122110872194
24.2,915.4752570767628,-596.922210471344,930.4223281802794
24.25,919.0462152539274,-602.2534597564697,933.8516012788401
24.3,922.5235382647173,-607.2854116020203,937.104665748203
24.35,926.1191591569186,-612.6080073188782,940.5626794922404
24.4,929.915073158813,-617.9276035140991,944.0360727255573
24.45,933.4873708520682,-623.4226932178498,947.6420409845764
24.5,937.7176874535684,-628.7847427864075,951.1781306271632
24.55,941.1095834559997,-634.1823321929932,954.7548449147353
24.6,945.0774511257752,-639.3800692840576,958.215245349448
24.65,948.7482229905639,-644.8937358505249,961.9030689012602
24.7,952.5719879273273,-650.4486628219604,965.6360838272834
24.75,956.6440393263056,-655.7285364883422,969.2004421106913
